Reference, Value, Footprint, Datasheet, BuyLink, MFR, MPN, Price, LCSC
"U2","ESP32-DevKit-Doit","ProjectFootprints:ESP32-DEVKIT-V1","","https://www.aliexpress.com/item/4000111107743.html","Espressif","ESP32 DevKit v1","6.00",""
"J1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal","https://www.cuidevices.com/product/resource/digikeypdf/pj-036ah-smt-tr.pdf","","CUI","PJ-036AH-SMT-TR","1.36",""
"J7","Micro_SD_Card_Det","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://www.hirose.com/product/document?clcode=CL0609-0033-6-00&productname=DM3AT-SF-PEJ2M5&series=DM3&documenttype=Catalog&lang=en&documentid=D49662_en","","HRS","DM3AT-SF-PEJM5","2.50",""
"C6","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C8","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C1","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
"U1","NCP3063","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://www.onsemi.com/pub/Collateral/NCP3063-D.PDF","","ONSemi","NCP3063BDR2G","0.99",""
"C3","2n2","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B222KBANNNC.jsp","","Samsung","CL21B222KBANNNC","0.10","C28260"
"R1","0R15","Resistor_SMD:R_0805_2012Metric","https://www.ohmite.com/assets/docs/res_kdv.pdf?r=false","","Ohmite","KDV08FR150ET","0.29",""
